reservation_id,date_reservation,date_arrivee,region_hotel,ville,type_destination,hotel_id,categorie_hotel,segment_client,marche_origine,canal_reservation,moyen_transport,delai_reservation_jours,nuits,adultes,enfants,chambres,formule_repas,tarif_remboursable,type_acompte,prix_moyen_nuit_eur,remise_pct,montant_total_eur,client_type,reservations_passees,annulations_passees,demandes_speciales,modifications_reservation,jours_liste_attente,evenement_majeur,haute_saison_regionale,arrivee_weekend,agent_id,reservation_annulee,prix_impute,enfants_manquant,demandes_manquant,reservation_directe,taux_annulation_passe,sans_historique,personnes,personnes_par_chambre,avec_enfants,prix_par_personne,montant_par_nuit,acompte_ord,remboursable,score_engagement,flexibilite_totale,mois_arrivee,mois_reservation,sin_mois,cos_mois,log_delai,delai_par_nuit,a_modifie,ix_delai_acompte,ix_delai_remb,ix_delai_direct,ix_remb_acompte,ix_delai_modif,ix_delai_dem,prix_relatif_hotel,prix_relatif_saison,y_reel,proba,y_predit,type_erreur
R002899,2025-01-11,2025-02-10,Trentino-Alto_Adige,Bolzano,montagne,TRE-4-3,4,solo,Italie,site_hotel,train,30,6,1,0.0,1,petit_dejeuner,non,total,208.84,12,1102.68,fidele,11,1,0.0,0,0,0,1,0,DIRECT,0,0,0,0,1,0.09090909090909091,0,1.0,1.0,0,1102.68,183.78,2.0,0,2.0,0,2,1,0.8660254037844386,0.5000000000000001,3.4339872044851463,5.0,0,6.8679744089702925,0.0,3.4339872044851463,0.0,0.0,0.0,1.125124585836274,0.9615986739110415,0,0.06014844538813116,0,vrai négatif
R004904,2025-01-11,2025-01-24,Trentino-Alto_Adige,Bolzano,montagne,TRE-3-3,3,loisirs_couple,Europe_Centrale,site_hotel,train,13,7,2,0.0,1,petit_dejeuner,oui,aucun,200.52,12,1235.2,nouveau,0,0,2.0,0,0,0,1,1,DIRECT,1,0,0,0,1,0.0,1,2.0,2.0,0,617.6,176.45714285714286,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,2.639057329615259,1.8571428571428572,0,0.0,2.639057329615259,2.639057329615259,0.0,0.0,5.278114659230518,1.2986205556634933,0.9051187144533719,1,0.21129892300568495,0,faux négatif
R006020,2025-01-11,2025-02-09,Campania,Napoli,urbaine_cotiere,CAM-4-1,4,loisirs_couple,Italie,plateforme_en_ligne,train,29,5,2,0.0,1,petit_dejeuner,non,partiel,139.91,5,664.57,nouveau,0,0,1.0,0,0,0,0,0,AG025,0,0,0,0,0,0.0,1,2.0,2.0,0,332.285,132.91400000000002,1.0,0,1.0,0,2,1,0.8660254037844386,0.5000000000000001,3.4011973816621555,5.8,0,3.4011973816621555,0.0,0.0,0.0,0.0,3.4011973816621555,0.73936479416583,0.8712519849300993,0,0.20147574282793795,0,vrai négatif
R006413,2025-01-11,2025-01-21,Veneto,Venezia,urbaine_littorale,VEN-4-3,4,famille,Italie,plateforme_en_ligne,train,10,6,2,3.0,2,petit_dejeuner,non,total,204.32,0,2451.84,fidele,2,0,1.0,0,0,0,0,0,AG029,0,0,0,0,0,0.0,0,5.0,2.5,1,490.36800000000005,408.64000000000004,2.0,0,2.0,0,1,1,0.49999999999999994,0.8660254037844387,2.3978952727983707,1.6666666666666667,0,4.795790545596741,0.0,0.0,0.0,0.0,2.3978952727983707,0.9361955600357396,1.051732125392495,0,0.12783442750577348,0,vrai négatif
R008354,2025-01-11,2025-03-17,Liguria,Genova,littorale,LIG-4-2,4,famille,Europe_Ouest,plateforme_en_ligne,avion_direct,65,2,2,3.0,2,petit_dejeuner,non,total,153.3,0,613.2,nouveau,0,0,2.0,1,0,0,0,0,AG005,0,0,0,0,0,0.0,1,5.0,2.5,1,122.64000000000001,306.6,2.0,0,2.0,0,3,1,1.0,6.123233995736766e-17,4.189654742026425,32.5,1,8.37930948405285,0.0,0.0,0.0,4.189654742026425,8.37930948405285,0.8304217112212562,0.9816225907664724,0,0.1520396163603151,0,vrai négatif
R009083,2025-01-11,2025-05-22,Campania,Napoli,urbaine_cotiere,CAM-4-2,4,groupe,Asie_Pacifique,plateforme_en_ligne,voiture,131,3,6,0.0,4,petit_dejeuner,oui,partiel,216.77,5,2471.18,fidele,9,1,3.0,0,0,0,1,0,AG045,1,0,0,0,0,0.1111111111111111,0,6.0,1.5,0,411.8633333333333,823.7266666666666,1.0,1,0.0,0,5,1,0.49999999999999994,-0.8660254037844387,4.882801922586371,43.666666666666664,0,4.882801922586371,4.882801922586371,0.0,1.0,0.0,14.648405767759112,1.1332897660436545,1.1072121769332925,1,0.40113275332608533,1,vrai positif
R001201,2025-01-12,2025-02-22,Trentino-Alto_Adige,Bolzano,montagne,TRE-5-3,5,famille,Europe_Centrale,agence,voiture,41,4,2,2.0,1,petit_dejeuner,non,total,268.33,7,998.19,nouveau,0,0,1.0,0,0,0,1,1,AG030,0,0,0,0,0,0.0,1,4.0,4.0,1,249.5475,249.5475,2.0,0,2.0,0,2,1,0.8660254037844386,0.5000000000000001,3.7376696182833684,10.25,0,7.475339236566737,0.0,0.0,0.0,0.0,3.7376696182833684,1.2158684127056052,1.2355189243945113,0,0.13168899962394923,0,vrai négatif
R004556,2025-01-12,2025-01-29,Campania,Napoli,urbaine_cotiere,CAM-3-1,3,affaires,Italie,plateforme_en_ligne,voiture,17,1,2,0.0,1,aucune,oui,aucun,120.64,1,119.43,nouveau,0,0,1.0,0,0,0,0,0,AG020,1,0,0,0,0,0.0,1,2.0,2.0,0,59.715,119.43,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,2.8903717578961645,17.0,0,0.0,2.8903717578961645,0.0,0.0,0.0,2.8903717578961645,0.7435897435897435,0.7848290667794294,1,0.3621289136043436,1,vrai positif
R007243,2025-01-12,2025-03-16,Liguria,Genova,littorale,LIG-3-3,3,loisirs_couple,Italie,site_hotel,voiture,63,6,2,0.0,1,petit_dejeuner,oui,partiel,126.25,2,742.35,entreprise,9,2,0.0,1,0,0,0,0,DIRECT,1,0,0,0,1,0.2222222222222222,0,2.0,2.0,0,371.175,123.72500000000001,1.0,1,0.0,0,3,1,1.0,6.123233995736766e-17,4.1588830833596715,10.5,1,4.1588830833596715,4.1588830833596715,4.1588830833596715,1.0,4.1588830833596715,0.0,0.7998099461514095,0.8084139079208554,1,0.2271021083046072,0,faux négatif
R007874,2025-01-12,2025-01-17,Campania,Napoli,urbaine_cotiere,CAM-5-1,5,affaires,Italie,plateforme_en_ligne,avion_direct,5,1,2,0.0,1,aucune,oui,aucun,204.16,7,189.87,entreprise,10,1,0.0,0,0,0,0,1,AG013,0,0,0,0,0,0.1,0,2.0,2.0,0,94.935,189.87,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,1.791759469228055,5.0,0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.9671474928349795,1.328172266857496,0,0.3755590997293401,1,faux positif
R008163,2025-01-12,2025-02-09,Sicilia,Palermo,insulaire_mixte,SIC-3-3,3,famille,Italie,site_hotel,ferry,28,6,2,1.0,1,aucune,oui,aucun,121.48,2,714.3,fidele,7,1,3.0,0,0,0,0,0,DIRECT,0,0,0,0,1,0.14285714285714285,0,3.0,3.0,1,238.1,119.05,0.0,1,-1.0,1,2,1,0.8660254037844386,0.5000000000000001,3.367295829986474,4.666666666666667,0,0.0,3.367295829986474,3.367295829986474,0.0,0.0,10.101887489959422,0.8605227739604733,0.7725278219395867,0,0.2672094955487495,1,faux positif
R008720,2025-01-12,2025-04-06,Campania,Napoli,urbaine_cotiere,CAM-5-2,5,famille,Ameriques,plateforme_en_ligne,avion_direct,84,5,2,2.0,1,petit_dejeuner,oui,aucun,236.92,2,1160.91,nouveau,0,0,0.0,2,0,0,1,0,AG013,1,0,0,0,0,0.0,1,4.0,4.0,1,290.2275,232.18200000000002,0.0,1,-1.0,1,4,1,0.8660254037844387,-0.4999999999999998,4.442651256490317,16.8,1,0.0,4.442651256490317,0.0,0.0,4.442651256490317,0.0,1.135816673857807,1.1722329424570777,1,0.6050794965850083,1,vrai positif
R002979,2025-01-13,2025-02-02,Liguria,Genova,littorale,LIG-3-1,3,groupe,Europe_Ouest,plateforme_en_ligne,voiture,20,3,5,0.0,3,petit_dejeuner,oui,aucun,212.8105263157895,5,1819.53,nouveau,0,0,2.0,0,0,0,0,0,AG001,1,1,0,0,0,0.0,1,5.0,1.6666666666666667,0,363.906,606.51,0.0,1,-1.0,1,2,1,0.8660254037844386,0.5000000000000001,3.044522437723423,6.666666666666667,0,0.0,3.044522437723423,0.0,0.0,0.0,6.089044875446846,1.3789316809161503,1.4219599513282741,1,0.3427265887249515,1,vrai positif
R003961,2025-01-13,2025-01-27,Lazio,Roma,urbaine_culturelle,LAZ-4-3,4,affaires,Europe_Centrale,site_hotel,train,14,1,2,0.0,1,petit_dejeuner,oui,partiel,176.01,1,174.25,fidele,2,0,2.0,0,0,0,0,0,DIRECT,0,0,0,0,1,0.0,0,2.0,2.0,0,87.125,174.25,1.0,1,0.0,0,1,1,0.49999999999999994,0.8660254037844387,2.70805020110221,14.0,0,2.70805020110221,2.70805020110221,2.70805020110221,1.0,0.0,5.41610040220442,0.8521835963977921,0.961015561015561,0,0.18042290240117542,0,vrai négatif
R005060,2025-01-13,2025-03-19,Lazio,Roma,urbaine_culturelle,LAZ-4-1,4,solo,Ameriques,plateforme_en_ligne,voiture,65,5,1,0.0,1,aucune,oui,aucun,135.3,4,649.44,fidele,4,1,0.0,0,0,0,0,0,AG014,1,0,0,0,0,0.25,0,1.0,1.0,0,649.44,129.888,0.0,1,-1.0,1,3,1,1.0,6.123233995736766e-17,4.189654742026425,13.0,0,0.0,4.189654742026425,0.0,0.0,0.0,0.0,0.6624559341950647,0.7929437965187834,1,0.5601549878479847,1,vrai positif
R006478,2025-01-13,2025-02-08,Lazio,Roma,urbaine_culturelle,LAZ-4-1,4,famille,Italie,site_hotel,train,26,2,2,1.0,1,pension_complete,oui,partiel,199.38,4,382.81,nouveau,0,0,2.0,0,0,0,0,1,DIRECT,1,0,0,0,1,0.0,1,3.0,3.0,1,127.60333333333334,191.405,1.0,1,0.0,0,2,1,0.8660254037844386,0.5000000000000001,3.295836866004329,13.0,0,3.295836866004329,3.295836866004329,3.295836866004329,1.0,0.0,6.591673732008658,0.9762044653349,1.1613128694993737,1,0.14977969395101806,0,faux négatif
R006821,2025-01-13,2025-01-23,Liguria,Genova,littorale,LIG-4-2,4,solo,Asie_Pacifique,agence,voiture,10,2,1,0.0,1,petit_dejeuner,oui,partiel,147.22,0,294.44,nouveau,0,0,2.0,0,0,0,0,0,AG008,0,0,0,0,0,0.0,1,1.0,1.0,0,294.44,147.22,1.0,1,0.0,0,1,1,0.49999999999999994,0.8660254037844387,2.3978952727983707,5.0,0,2.3978952727983707,2.3978952727983707,0.0,1.0,0.0,4.795790545596741,0.7974865252837138,0.9596818878133047,0,0.1578540776366016,0,vrai négatif
R009627,2025-01-13,2025-02-18,Liguria,Genova,littorale,LIG-4-3,4,groupe,Europe_Ouest,plateforme_en_ligne,voiture,36,5,4,0.0,4,aucune,non,total,115.15,8,2118.76,fidele,3,0,0.0,1,0,0,0,0,AG037,0,0,0,0,0,0.0,0,4.0,1.0,0,529.69,423.75200000000007,2.0,0,2.0,0,2,1,0.8660254037844386,0.5000000000000001,3.6109179126442243,7.2,1,7.221835825288449,0.0,0.0,0.0,3.6109179126442243,0.0,0.664263051629651,0.7694106641721236,0,0.15535634766666975,0,vrai négatif
R009866,2025-01-13,2025-02-11,Lazio,Roma,urbaine_culturelle,LAZ-4-3,4,solo,Italie,site_hotel,avion_direct,29,6,1,0.0,1,pension_complete,oui,aucun,153.17,4,882.26,nouveau,0,0,1.0,0,0,0,0,0,DIRECT,0,0,0,0,1,0.0,1,1.0,1.0,0,882.26,147.04333333333332,0.0,1,-1.0,1,2,1,0.8660254037844386,0.5000000000000001,3.4011973816621555,4.833333333333333,0,0.0,3.4011973816621555,3.4011973816621555,0.0,0.0,3.4011973816621555,0.7415996901326618,0.8921571482657191,0,0.2691994684519309,1,faux positif
R000192,2025-01-14,2025-02-18,Veneto,Venezia,urbaine_littorale,VEN-4-2,4,loisirs_couple,Europe_Centrale,site_hotel,avion_direct,35,5,2,0.0,1,petit_dejeuner,non,partiel,197.41,12,868.6,fidele,7,1,0.0,0,0,0,0,0,DIRECT,1,0,0,0,1,0.14285714285714285,0,2.0,2.0,0,434.3,173.72,1.0,0,1.0,0,2,1,0.8660254037844386,0.5000000000000001,3.58351893845611,7.0,0,3.58351893845611,0.0,3.58351893845611,0.0,0.0,0.0,0.8735728825559783,1.057648004286097,1,0.1381245805521557,0,faux négatif
R000509,2025-01-14,2025-01-27,Sicilia,Palermo,insulaire_mixte,SIC-4-3,4,solo,Ameriques,agence,voiture,13,5,1,0.0,1,petit_dejeuner,oui,partiel,150.34,2,736.67,nouveau,0,0,1.0,1,0,0,0,0,AG003,0,0,0,0,0,0.0,1,1.0,1.0,0,736.67,147.334,1.0,1,0.0,0,1,1,0.49999999999999994,0.8660254037844387,2.639057329615259,2.6,1,2.639057329615259,2.639057329615259,0.0,1.0,2.639057329615259,2.639057329615259,0.9020219595608088,1.0984948122168638,0,0.25043484349348616,1,faux positif
R000517,2025-01-14,2025-02-14,Sicilia,Palermo,insulaire_mixte,SIC-4-2,4,affaires,Asie_Pacifique,plateforme_en_ligne,avion_direct,31,6,2,0.0,1,aucune,non,total,137.33,4,791.02,entreprise,4,1,2.0,0,0,0,0,1,AG028,0,0,0,0,0,0.25,0,2.0,2.0,0,395.51,131.83666666666667,2.0,0,2.0,0,2,1,0.8660254037844386,0.5000000000000001,3.4657359027997265,5.166666666666667,0,6.931471805599453,0.0,0.0,0.0,0.0,6.931471805599453,0.7924865831842577,0.8733227344992052,0,0.1272691710508079,0,vrai négatif
R000581,2025-01-14,2025-02-20,Puglia,Bari,balneaire_rurale,PUG-4-1,4,loisirs_couple,Italie,entreprise,avion_direct,37,3,2,0.0,1,petit_dejeuner,oui,aucun,138.18,5,393.81,nouveau,0,0,1.0,0,0,0,0,0,DIRECT,0,0,0,0,1,0.0,1,2.0,2.0,0,196.905,131.27,0.0,1,-1.0,1,2,1,0.8660254037844386,0.5000000000000001,3.6375861597263857,12.333333333333334,0,0.0,3.6375861597263857,3.6375861597263857,0.0,0.0,3.6375861597263857,0.8351263145171038,1.1675538656527251,0,0.2095994416925043,0,vrai négatif
R000794,2025-01-14,2025-01-25,Veneto,Venezia,urbaine_littorale,VEN-4-3,4,famille,Europe_Ouest,site_hotel,voiture,11,7,2,2.0,1,demi_pension,oui,aucun,148.35,1,1028.07,nouveau,0,0,2.0,0,0,0,0,1,DIRECT,1,0,0,0,1,0.0,1,4.0,4.0,1,257.0175,146.86714285714285,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,2.4849066497880004,1.5714285714285714,0,0.0,2.4849066497880004,2.4849066497880004,0.0,0.0,4.969813299576001,0.6797406584343284,0.763627940495187,1,0.26260051222758685,1,vrai positif
R001252,2025-01-14,2025-01-29,Sicilia,Palermo,insulaire_mixte,SIC-5-2,5,affaires,Asie_Pacifique,plateforme_en_ligne,avion_direct,15,2,2,0.0,1,petit_dejeuner,oui,aucun,167.26,7,311.1,nouveau,0,0,0.0,0,0,0,0,0,AG028,0,0,0,0,0,0.0,1,2.0,2.0,0,155.55,155.55,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,2.772588722239781,7.5,0,0.0,2.772588722239781,0.0,0.0,0.0,0.0,0.9232977284645745,1.2221247990647375,0,0.3536136500678359,1,faux positif
R001346,2025-01-14,2025-03-15,Lombardia,Milano,affaires_lacs,LOM-4-2,4,solo,Italie,plateforme_en_ligne,avion_correspondance,60,6,1,0.0,1,pension_complete,oui,partiel,255.33,2,1501.34,nouveau,0,0,0.0,0,0,0,0,1,AG045,1,0,0,0,0,0.0,1,1.0,1.0,0,1501.34,250.22333333333333,1.0,1,0.0,0,3,1,1.0,6.123233995736766e-17,4.110873864173311,10.0,0,4.110873864173311,4.110873864173311,0.0,1.0,0.0,0.0,1.139306590513587,1.2616988684093493,1,0.39283709109587417,1,vrai positif
R001974,2025-01-14,2025-02-02,Trentino-Alto_Adige,Bolzano,montagne,TRE-3-3,3,loisirs_couple,Italie,plateforme_en_ligne,avion_direct,19,7,2,0.0,1,aucune,oui,partiel,180.56,3,1226.0,nouveau,0,0,1.0,1,0,0,1,0,AG012,0,0,0,0,0,0.0,1,2.0,2.0,0,613.0,175.14285714285714,1.0,1,0.0,0,2,1,0.8660254037844386,0.5000000000000001,2.995732273553991,2.7142857142857144,1,2.995732273553991,2.995732273553991,0.0,1.0,2.995732273553991,2.995732273553991,1.169354316430283,0.8313841053504005,0,0.2816930383658104,1,faux positif
R003034,2025-01-14,2025-01-23,Lazio,Roma,urbaine_culturelle,LAZ-4-1,4,affaires,Italie,plateforme_en_ligne,train,9,1,2,0.0,1,petit_dejeuner,oui,aucun,185.2,5,175.94,fidele,5,1,2.0,0,0,0,0,0,AG031,1,0,0,0,0,0.2,0,2.0,2.0,0,87.97,175.94,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,2.302585092994046,9.0,0,0.0,2.302585092994046,0.0,0.0,0.0,4.605170185988092,0.9067763415589501,1.0111930111930112,1,0.3250780978025956,1,vrai positif
R006458,2025-01-14,2025-01-28,Lazio,Roma,urbaine_culturelle,LAZ-3-1,3,solo,Europe_Ouest,plateforme_en_ligne,avion_direct,14,2,1,0.0,1,petit_dejeuner,oui,aucun,134.3578947368421,5,255.28,nouveau,0,0,0.0,0,0,0,0,0,AG021,0,1,1,0,0,0.0,1,1.0,1.0,0,255.28,127.64,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,2.70805020110221,7.0,0,0.0,2.70805020110221,0.0,0.0,0.0,0.0,0.7809235381391577,0.7335948388579967,0,0.33778512860804566,1,faux positif
R007372,2025-01-14,2025-02-18,Veneto,Venezia,urbaine_littorale,VEN-4-2,4,famille,Asie_Pacifique,agence,avion_direct,35,4,2,2.0,1,petit_dejeuner,oui,aucun,189.91,2,744.45,nouveau,0,0,1.0,1,0,0,0,0,AG027,1,0,0,0,0,0.0,1,4.0,4.0,1,186.1125,186.1125,0.0,1,-1.0,1,2,1,0.8660254037844386,0.5000000000000001,3.58351893845611,8.75,1,0.0,3.58351893845611,0.0,0.0,3.58351893845611,3.58351893845611,0.8403841047880343,1.0174658451647467,1,0.3889236674516274,1,vrai positif
R007527,2025-01-14,2025-01-23,Lombardia,Milano,affaires_lacs,LOM-5-2,5,groupe,Italie,plateforme_en_ligne,train,9,2,4,0.0,4,aucune,oui,aucun,153.81,6,1156.65,nouveau,0,0,0.0,1,0,0,0,0,AG040,1,0,0,0,0,0.0,1,4.0,1.0,0,289.1625,578.325,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,2.302585092994046,4.5,1,0.0,2.302585092994046,0.0,0.0,2.302585092994046,0.0,0.5809083183835333,0.7862692976178305,1,0.5215293293776878,1,vrai positif
R008206,2025-01-14,2025-03-18,Lazio,Roma,urbaine_culturelle,LAZ-4-3,4,loisirs_couple,Europe_Ouest,agence,train,63,3,2,0.0,1,petit_dejeuner,non,total,152.87,6,431.09,nouveau,0,0,1.0,0,0,0,0,0,AG024,0,0,0,0,0,0.0,1,2.0,2.0,0,215.545,143.69666666666666,2.0,0,2.0,0,3,1,1.0,6.123233995736766e-17,4.1588830833596715,21.0,0,8.317766166719343,0.0,0.0,0.0,0.0,4.1588830833596715,0.7401471869855718,0.8959151380179335,0,0.12232132226325396,0,vrai négatif
R008557,2025-01-14,2025-02-02,Toscana,Firenze,culturelle_rurale,TOS-4-2,4,loisirs_couple,Italie,entreprise,train,19,6,2,0.0,1,aucune,oui,aucun,168.47,13,879.41,nouveau,0,0,1.0,0,0,0,0,0,DIRECT,1,0,0,0,1,0.0,1,2.0,2.0,0,439.705,146.56833333333333,0.0,1,-1.0,1,2,1,0.8660254037844386,0.5000000000000001,2.995732273553991,3.1666666666666665,0,0.0,2.995732273553991,2.995732273553991,0.0,0.0,2.995732273553991,0.8476904498339539,1.0089836497574414,1,0.16826232546316564,0,faux négatif
R008851,2025-01-14,2025-03-07,Toscana,Firenze,culturelle_rurale,TOS-5-3,5,solo,Europe_Centrale,site_hotel,train,52,3,1,0.0,1,petit_dejeuner,non,partiel,196.69,9,536.96,nouveau,0,0,2.0,0,0,0,0,1,DIRECT,0,0,0,0,1,0.0,1,1.0,1.0,0,536.96,178.98666666666668,1.0,0,1.0,0,3,1,1.0,6.123233995736766e-17,3.970291913552122,17.333333333333332,0,3.970291913552122,0.0,3.970291913552122,0.0,0.0,7.940583827104244,0.822454526447836,1.1579536088543505,0,0.1399082796753564,0,vrai négatif
