reservation_id,date_reservation,date_arrivee,region_hotel,ville,type_destination,hotel_id,categorie_hotel,segment_client,marche_origine,canal_reservation,moyen_transport,delai_reservation_jours,nuits,adultes,enfants,chambres,formule_repas,tarif_remboursable,type_acompte,prix_moyen_nuit_eur,remise_pct,montant_total_eur,client_type,reservations_passees,annulations_passees,demandes_speciales,modifications_reservation,jours_liste_attente,evenement_majeur,haute_saison_regionale,arrivee_weekend,agent_id,reservation_annulee
R002535,2023-01-02,2023-03-21,Lombardia,Milano,affaires_lacs,LOM-4-1,4,groupe,Europe_Ouest,agence,avion_correspondance,78,3,4,0,4,demi_pension,oui,aucun,246.36,8,2719.81,nouveau,0,0,2,0,0,0,0,0,AG017,0
R003189,2023-01-02,2023-01-04,Veneto,Venezia,urbaine_littorale,VEN-5-2,5,affaires,Asie_Pacifique,plateforme_en_ligne,train,2,1,2,0,1,demi_pension,oui,aucun,192.18,0,192.18,nouveau,0,0,2,0,0,0,0,0,AG041,0
R004945,2023-01-02,2023-02-27,Liguria,Genova,littorale,LIG-4-2,4,solo,Europe_Ouest,entreprise,voiture,56,7,1,0,1,petit_dejeuner,oui,aucun,149.66,7,974.29,nouveau,0,0,0,0,0,0,0,0,,0
R006759,2023-01-02,2023-06-26,Liguria,Genova,littorale,LIG-3-3,3,famille,Asie_Pacifique,plateforme_en_ligne,voiture,175,4,2,2,1,aucune,oui,partiel,181.76,8,668.88,fidele,9,1,1,0,0,0,1,0,AG010,1
R008209,2023-01-02,2023-03-10,Puglia,Bari,balneaire_rurale,PUG-3-3,3,loisirs_couple,Europe_Ouest,telephone,avion_direct,67,4,2,0,1,petit_dejeuner,oui,partiel,139.57,7,519.2,nouveau,0,0,0,1,0,1,0,1,,0
R008266,2023-01-02,2023-01-20,Lazio,Roma,urbaine_culturelle,LAZ-5-1,5,loisirs_couple,Europe_Centrale,site_hotel,avion_direct,18,2,2,,1,demi_pension,oui,aucun,226.49,2,443.92,nouveau,0,0,0,1,0,0,0,1,,1
R009345,2023-01-02,2023-03-28,Lazio,Roma,urbaine_culturelle,LAZ-4-1,4,solo,Italie,plateforme_en_ligne,avion_direct,85,3,1,0,1,petit_dejeuner,oui,aucun,254.67,5,725.81,fidele,3,0,2,0,0,1,0,0,AG009,1
R000459,2023-01-03,2023-04-17,Trentino-Alto_Adige,Bolzano,montagne,TRE-3-3,3,famille,Europe_Ouest,entreprise,train,104,7,2,1,1,aucune,oui,partiel,199.21,13,1213.19,nouveau,0,0,0,0,0,0,0,0,,0
R000596,2023-01-03,2023-02-28,Trentino-Alto_Adige,Bolzano,montagne,TRE-4-1,4,solo,Italie,telephone,train,56,3,1,0,1,petit_dejeuner,oui,aucun,321.15,3,934.55,nouveau,0,0,0,0,0,0,1,0,,1
R003362,2023-01-03,2023-03-17,Lazio,Roma,urbaine_culturelle,LAZ-3-3,3,famille,Europe_Centrale,plateforme_en_ligne,train,73,2,2,1,1,demi_pension,oui,aucun,137.07,4,263.17,nouveau,0,0,1,1,0,0,0,1,AG011,1
R003659,2023-01-03,2023-01-27,Toscana,Firenze,culturelle_rurale,TOS-3-3,3,groupe,Europe_Centrale,plateforme_en_ligne,avion_direct,24,2,5,0,3,petit_dejeuner,non,partiel,134.72,7,751.74,nouveau,0,0,0,1,0,0,0,1,AG017,0
R004839,2023-01-03,2023-01-14,Campania,Napoli,urbaine_cotiere,CAM-5-1,5,famille,,site_hotel,train,11,5,2,3,2,petit_dejeuner,oui,aucun,176.63,0,1766.3,nouveau,0,0,1,0,0,0,0,1,,1
R005405,2023-01-03,2023-05-01,Veneto,Venezia,urbaine_littorale,VEN-4-2,4,solo,Italie,plateforme_en_ligne,avion_direct,118,2,1,0,1,petit_dejeuner,oui,total,232.21,5,441.2,fidele,9,2,1,0,0,0,1,0,AG023,0
R006067,2023-01-03,2023-02-25,Trentino-Alto_Adige,Bolzano,montagne,TRE-4-3,4,affaires,Europe_Centrale,agence,train,53,3,2,0,1,aucune,oui,partiel,321.74,2,945.92,fidele,8,1,0,1,0,0,1,1,AG029,0
R006621,2023-01-03,2023-03-29,Sardegna,Cagliari,insulaire_balneaire,SAR-3-2,3,solo,Europe_Centrale,telephone,ferry,85,8,1,0,1,aucune,oui,partiel,148.54,7,1105.14,fidele,2,0,0,0,0,0,0,0,,1
R006816,2023-01-03,2023-02-04,Campania,Napoli,urbaine_cotiere,CAM-3-2,3,famille,Europe_Centrale,plateforme_en_ligne,voiture,32,3,2,3,2,petit_dejeuner,oui,aucun,151.59,5,864.06,nouveau,0,0,1,1,0,0,0,1,AG042,1
R007192,2023-01-03,2023-01-17,Liguria,Genova,littorale,LIG-3-2,3,groupe,Italie,telephone,voiture,14,3,6,0,2,pension_complete,oui,partiel,160.32,0,961.92,nouveau,0,0,1,0,0,0,0,0,,0
R007468,2023-01-03,2023-02-22,Trentino-Alto_Adige,Bolzano,montagne,TRE-4-1,4,solo,Europe_Centrale,plateforme_en_ligne,train,50,4,1,0,1,petit_dejeuner,oui,total,217.2,2,851.42,fidele,4,0,1,0,0,0,1,0,AG011,0
R009371,2023-01-03,2023-02-05,Lombardia,Milano,affaires_lacs,LOM-5-3,5,loisirs_couple,Italie,plateforme_en_ligne,voiture,33,2,2,0,1,demi_pension,oui,aucun,201.46,0,402.92,nouveau,0,0,1,0,0,0,0,0,AG009,0
R009561,2023-01-03,2023-02-06,Lazio,Roma,urbaine_culturelle,LAZ-4-1,4,loisirs_couple,Europe_Ouest,agence,train,34,3,2,0,1,demi_pension,oui,aucun,187.75,2,551.99,nouveau,0,0,1,0,0,0,0,0,AG040,0
R009954,2023-01-03,2023-01-17,Liguria,Genova,littorale,LIG-4-2,4,loisirs_couple,Italie,site_hotel,voiture,14,2,2,0,1,demi_pension,non,total,154.83,4,297.27,nouveau,0,0,3,0,0,0,0,0,,0
R001140,2023-01-04,2023-02-25,Lombardia,Milano,affaires_lacs,LOM-5-3,5,loisirs_couple,Ameriques,agence,train,52,2,2,,1,aucune,oui,aucun,309.88,5,588.77,nouveau,0,0,2,0,0,0,0,1,AG030,1
R002621,2023-01-04,2023-03-02,Puglia,Bari,balneaire_rurale,PUG-4-3,4,loisirs_couple,Europe_Ouest,plateforme_en_ligne,avion_direct,57,5,2,0,1,demi_pension,non,total,149.16,6,701.05,nouveau,0,0,1,0,0,0,0,0,AG018,0
R002787,2023-01-04,2023-01-22,Lombardia,Milano,affaires_lacs,LOM-4-1,4,affaires,Europe_Centrale,agence,avion_direct,18,2,2,0,1,petit_dejeuner,non,total,,0,249.58,nouveau,0,0,1,1,0,0,0,0,AG037,0
R007264,2023-01-04,2023-01-30,Puglia,Bari,balneaire_rurale,PUG-3-2,3,famille,Europe_Centrale,telephone,voiture,26,7,2,3,2,aucune,oui,aucun,102.43,3,1391,nouveau,0,0,1,0,0,0,0,0,,1
R007921,2023-01-04,2023-02-13,Toscana,Firenze,culturelle_rurale,TOS-3-2,3,loisirs_couple,Europe_Ouest,site_hotel,train,40,2,2,0,1,petit_dejeuner,oui,partiel,145.03,7,269.76,nouveau,0,0,0,1,0,0,0,0,,1
R008842,2023-01-04,2023-02-15,Lombardia,Milano,affaires_lacs,LOM-4-1,4,famille,Europe_Ouest,plateforme_en_ligne,voiture,42,7,2,1,1,aucune,oui,partiel,218.12,5,1450.5,nouveau,0,0,2,1,0,1,0,0,AG009,1
R008990,2023-01-04,2023-01-12,Puglia,Bari,balneaire_rurale,PUG-3-3,3,affaires,Ameriques,site_hotel,avion_direct,8,3,2,0,1,petit_dejeuner,oui,aucun,132.75,8,366.39,nouveau,0,0,0,0,0,0,0,0,,0
R000699,2023-01-05,2023-01-22,Campania,Napoli,urbaine_cotiere,CAM-3-3,3,affaires,Italie,telephone,avion_correspondance,17,2,2,0,1,aucune,oui,aucun,122.4,8,225.22,nouveau,0,0,0,0,0,0,0,0,,0
R007118,2023-01-05,2023-01-25,Lombardia,Milano,affaires_lacs,LOM-4-1,4,famille,Europe_Centrale,telephone,avion_direct,20,5,2,2,1,petit_dejeuner,oui,partiel,228.16,1,1129.39,nouveau,0,0,1,1,0,1,0,0,,0
R007306,2023-01-05,2023-02-05,Sicilia,Palermo,insulaire_mixte,SIC-4-1,4,groupe,Europe_Ouest,plateforme_en_ligne,avion_correspondance,31,6,3,0,2,petit_dejeuner,oui,aucun,161.65,2,1901,nouveau,0,0,0,3,0,0,0,0,AG020,0
R008007,2023-01-05,2023-01-19,Puglia,Bari,balneaire_rurale,PUG-4-3,4,affaires,Italie,plateforme_en_ligne,voiture,14,3,2,0,1,petit_dejeuner,oui,aucun,128.63,3,374.31,nouveau,0,0,2,0,0,0,0,0,AG019,0
R008726,2023-01-05,2023-01-25,Liguria,Genova,littorale,LIG-3-3,3,loisirs_couple,Asie_Pacifique,agence,avion_direct,20,5,2,0,1,petit_dejeuner,oui,partiel,154.38,6,725.59,fidele,10,2,1,0,0,0,0,0,AG023,0
R008864,2023-01-05,2023-01-25,Liguria,Genova,littorale,LIG-4-2,4,affaires,Autres,site_hotel,avion_direct,20,2,2,0,1,aucune,non,total,150.53,11,267.94,nouveau,0,0,1,0,0,0,0,0,,0
R009207,2023-01-05,2023-01-27,Liguria,Genova,littorale,LIG-4-1,4,groupe,Europe_Centrale,site_hotel,avion_direct,22,4,3,0,3,petit_dejeuner,non,aucun,175.71,9,1918.75,entreprise,5,1,1,0,0,0,0,1,,0
R001356,2023-01-06,2023-04-02,Sicilia,Palermo,insulaire_mixte,SIC-3-3,3,loisirs_couple,Italie,telephone,avion_correspondance,86,5,2,0,1,demi_pension,oui,aucun,104.82,6,492.65,fidele,10,1,0,0,0,0,0,0,,0
R003980,2023-01-06,2023-01-29,Lombardia,Milano,affaires_lacs,LOM-4-3,4,affaires,Europe_Centrale,plateforme_en_ligne,voiture,23,1,2,0,1,petit_dejeuner,oui,aucun,,0,153.17,fidele,10,2,4,0,0,0,0,0,AG025,0
R004300,2023-01-06,2023-05-06,Lombardia,Milano,affaires_lacs,LOM-4-3,4,solo,Italie,plateforme_en_ligne,avion_direct,120,4,1,,1,petit_dejeuner,oui,aucun,273.14,7,1016.08,nouveau,0,0,3,0,0,0,1,1,AG010,0
R005205,2023-01-06,2023-01-28,Toscana,Firenze,culturelle_rurale,TOS-3-2,3,solo,,telephone,train,22,7,1,0,1,petit_dejeuner,oui,aucun,181.52,6,1194.4,fidele,9,2,1,0,0,0,0,1,,0
R007457,2023-01-06,2024-03-12,Lazio,Roma,urbaine_culturelle,LAZ-5-2,5,famille,Europe_Centrale,plateforme_en_ligne,train,431,5,2,3,2,aucune,oui,aucun,177.38,5,1685.11,nouveau,0,0,2,1,0,0,0,0,AG006,0
R008652,2023-01-06,2023-03-07,Sicilia,Palermo,insulaire_mixte,SIC-4-1,4,loisirs_couple,Asie_Pacifique,site_hotel,avion_direct,60,6,2,0,1,petit_dejeuner,oui,partiel,141.28,6,796.82,nouveau,0,0,0,0,0,0,0,0,,1
R009054,2023-01-06,2023-01-15,Liguria,Genova,littorale,LIG-4-3,4,solo,Autres,agence,avion_direct,9,6,1,0,1,petit_dejeuner,oui,partiel,190.04,7,1060.42,nouveau,0,0,2,0,0,0,0,0,AG041,0
R009640,2023-01-06,2023-03-07,Veneto,Venezia,urbaine_littorale,VEN-3-2,3,famille,Europe_Ouest,plateforme_en_ligne,avion_direct,60,5,2,2,1,petit_dejeuner,non,partiel,120.32,8,553.47,nouveau,0,0,1,1,0,0,0,0,AG003,0
R002338,2023-01-07,2023-02-28,Veneto,Venezia,urbaine_littorale,VEN-4-3,4,solo,Europe_Ouest,site_hotel,voiture,52,7,1,0,1,petit_dejeuner,oui,partiel,177.93,9,1133.41,nouveau,0,0,1,0,0,0,0,0,,0
R003446,2023-01-07,2023-01-30,Liguria,Genova,littorale,LIG-4-2,4,loisirs_couple,Europe_Ouest,plateforme_en_ligne,voiture,23,4,2,0,1,petit_dejeuner,non,total,96.44,5,366.47,nouveau,0,0,0,0,0,0,0,0,AG004,0
R004561,2023-01-07,2023-01-25,Lazio,Roma,urbaine_culturelle,LAZ-5-3,5,famille,Ameriques,plateforme_en_ligne,train,18,2,2,1,1,petit_dejeuner,oui,aucun,165.6,0,331.2,nouveau,0,0,1,0,0,0,0,0,AG006,0
R005742,2023-01-07,2023-02-28,Lazio,Roma,urbaine_culturelle,LAZ-4-3,4,groupe,Autres,plateforme_en_ligne,train,52,3,5,,2,petit_dejeuner,oui,aucun,167.63,5,955.49,nouveau,0,0,1,0,0,0,0,0,AG021,1
R007341,2023-01-07,2023-02-25,Lombardia,Milano,affaires_lacs,LOM-4-3,4,famille,Europe_Ouest,agence,voiture,49,2,2,2,1,petit_dejeuner,oui,aucun,229.55,1,454.51,fidele,10,2,2,0,0,0,0,1,AG009,1
R007671,2023-01-07,2023-01-31,Liguria,Genova,littorale,LIG-3-1,3,affaires,Asie_Pacifique,plateforme_en_ligne,train,24,3,2,0,1,aucune,oui,partiel,158.14,8,436.47,fidele,10,2,1,0,0,0,0,0,AG012,0
R008388,2023-01-07,2023-03-07,Lombardia,Milano,affaires_lacs,LOM-4-2,4,famille,Europe_Ouest,entreprise,voiture,59,7,2,3,2,demi_pension,oui,partiel,209.59,12,2582.15,nouveau,0,0,2,0,0,0,0,0,,0
R008480,2023-01-07,2023-02-10,Toscana,Firenze,culturelle_rurale,TOS-3-3,3,famille,Italie,plateforme_en_ligne,voiture,34,7,2,3,2,petit_dejeuner,non,total,138.87,2,1905.3,nouveau,0,0,0,0,0,0,0,1,AG012,0
R001529,2023-01-08,2023-01-25,Campania,Napoli,urbaine_cotiere,CAM-4-3,4,loisirs_couple,Europe_Ouest,site_hotel,voiture,17,7,2,0,1,aucune,oui,aucun,135.9,10,856.17,nouveau,0,0,1,1,0,0,0,0,,0
R002567,2023-01-08,2023-01-23,Lombardia,Milano,affaires_lacs,LOM-5-3,5,loisirs_couple,Europe_Ouest,plateforme_en_ligne,avion_direct,15,7,2,0,1,petit_dejeuner,oui,aucun,182.17,4,1224.18,nouveau,0,0,1,0,0,0,0,0,AG040,1
R006308,2023-01-08,2023-02-02,Lombardia,Milano,affaires_lacs,LOM-3-3,3,affaires,Italie,agence,voiture,25,2,2,0,1,petit_dejeuner,oui,partiel,151.41,1,299.79,fidele,3,1,,0,0,0,0,0,AG013,1
R006961,2023-01-08,2023-02-18,Toscana,Firenze,culturelle_rurale,TOS-4-3,4,solo,Europe_Ouest,site_hotel,avion_direct,41,3,1,0,1,aucune,oui,aucun,195.83,2,575.74,fidele,5,1,2,0,0,0,0,1,,1
R007167,2023-01-08,2023-02-06,Puglia,Bari,balneaire_rurale,PUG-3-1,3,loisirs_couple,Italie,telephone,voiture,29,7,2,0,1,petit_dejeuner,oui,partiel,81.67,7,531.67,fidele,6,1,0,0,0,0,0,0,,0
R007593,2023-01-08,2023-02-14,Lazio,Roma,urbaine_culturelle,LAZ-4-1,4,affaires,Europe_Ouest,site_hotel,train,37,1,2,0,1,demi_pension,non,partiel,213.68,2,209.41,nouveau,0,0,1,1,0,0,0,0,,0
R008731,2023-01-08,2023-03-23,Puglia,Bari,balneaire_rurale,PUG-4-2,4,famille,Europe_Ouest,plateforme_en_ligne,avion_correspondance,74,2,2,3,2,demi_pension,oui,aucun,135.08,8,497.09,nouveau,0,0,1,0,0,0,0,0,AG041,1
R009467,2023-01-08,2023-01-17,Campania,Napoli,urbaine_cotiere,CAM-4-2,4,famille,Europe_Ouest,agence,avion_direct,9,2,2,1,1,petit_dejeuner,oui,aucun,142.12,4,272.87,nouveau,0,0,3,0,0,0,0,0,AG042,0
R000294,2023-01-09,2023-02-02,Toscana,Firenze,culturelle_rurale,TOS-3-1,3,famille,Europe_Centrale,telephone,train,24,4,2,3,2,petit_dejeuner,oui,partiel,151.43,6,1138.75,fidele,12,2,,0,0,0,0,0,,0
R002129,2023-01-09,2023-02-04,Veneto,Venezia,urbaine_littorale,VEN-3-1,3,solo,Italie,plateforme_en_ligne,voiture,26,2,1,0,1,aucune,oui,aucun,185.88,8,342.02,nouveau,0,0,1,0,0,0,0,1,AG030,0
R004371,2023-01-09,2023-02-21,Veneto,Venezia,urbaine_littorale,VEN-5-2,5,loisirs_couple,Europe_Ouest,entreprise,voiture,43,7,2,0,1,petit_dejeuner,oui,aucun,196,18,1125.04,nouveau,0,0,0,0,0,0,0,0,,0
R005410,2023-01-09,2023-01-21,Liguria,Genova,littorale,LIG-3-2,3,loisirs_couple,Ameriques,plateforme_en_ligne,voiture,12,6,2,0,1,petit_dejeuner,oui,aucun,127.86,5,728.8,nouveau,0,0,0,0,0,0,0,1,AG018,0
R005535,2023-01-09,2023-02-17,Veneto,Venezia,urbaine_littorale,VEN-5-1,5,loisirs_couple,Italie,site_hotel,avion_correspondance,39,2,2,0,1,aucune,oui,aucun,312.96,11,557.07,nouveau,0,0,1,0,0,1,0,1,,1
R006547,2023-01-09,2023-07-09,Lazio,Roma,urbaine_culturelle,LAZ-3-1,3,loisirs_couple,Europe_Ouest,telephone,voiture,181,3,2,0,1,petit_dejeuner,non,total,151.14,0,453.42,fidele,2,0,0,0,6,0,0,0,,0
R007265,2023-01-09,2023-01-14,Lazio,Roma,urbaine_culturelle,LAZ-4-2,4,affaires,Italie,agence,avion_direct,5,3,2,0,1,petit_dejeuner,non,total,147.45,8,406.96,fidele,6,1,0,0,0,0,0,1,AG042,1
R008275,2023-01-09,2023-01-20,Campania,Napoli,urbaine_cotiere,CAM-3-1,3,affaires,Europe_Ouest,telephone,train,11,2,2,,1,petit_dejeuner,oui,aucun,130.99,0,261.98,fidele,11,2,0,1,0,0,0,1,,1
R008867,2023-01-09,2023-01-18,Lombardia,Milano,affaires_lacs,LOM-3-3,3,solo,Europe_Centrale,site_hotel,avion_direct,9,7,1,0,1,petit_dejeuner,oui,partiel,220.28,6,1449.44,nouveau,0,0,1,0,0,0,0,0,,1
R009036,2023-01-09,2023-03-17,Lazio,Roma,urbaine_culturelle,LAZ-3-2,3,loisirs_couple,Asie_Pacifique,plateforme_en_ligne,train,67,2,2,0,1,petit_dejeuner,oui,aucun,139.56,1,276.33,nouveau,0,0,2,1,0,0,0,1,AG040,0
R009623,2023-01-09,2023-02-10,Veneto,Venezia,urbaine_littorale,VEN-4-2,4,loisirs_couple,Ameriques,agence,avion_direct,32,6,2,0,1,aucune,oui,aucun,226.86,8,1252.27,nouveau,0,0,1,0,0,0,0,1,AG014,0
R001744,2023-01-10,2023-01-26,Trentino-Alto_Adige,Bolzano,montagne,TRE-4-1,4,affaires,Italie,plateforme_en_ligne,avion_direct,16,3,2,0,1,pension_complete,oui,aucun,199.68,6,563.1,nouveau,0,0,0,0,0,0,1,0,AG008,0
R002393,2023-01-10,2023-01-29,Campania,Napoli,urbaine_cotiere,CAM-5-2,5,loisirs_couple,Italie,plateforme_en_ligne,voiture,19,2,2,0,1,aucune,oui,aucun,184.06,8,338.67,fidele,2,0,3,0,0,0,0,0,AG029,0
R003239,2023-01-10,2023-01-28,Liguria,Genova,littorale,LIG-3-3,3,famille,Ameriques,plateforme_en_ligne,avion_correspondance,18,3,2,2,1,pension_complete,oui,aucun,196.23,6,553.37,fidele,11,2,1,1,0,0,0,1,AG025,0
R004083,2023-01-10,2023-02-01,Lombardia,Milano,affaires_lacs,LOM-5-2,5,famille,Italie,plateforme_en_ligne,voiture,22,6,2,3,2,petit_dejeuner,oui,partiel,192.1,4,2212.99,nouveau,0,0,0,0,0,0,0,0,AG012,0
R004228,2023-01-10,2023-03-08,Lazio,Roma,urbaine_culturelle,LAZ-5-1,5,groupe,Italie,agence,avion_direct,57,5,5,0,3,petit_dejeuner,oui,partiel,201.7,8,2783.46,fidele,2,0,0,0,0,0,0,0,AG035,1
R006259,2023-01-10,2023-01-23,Campania,Napoli,urbaine_cotiere,CAM-5-1,5,affaires,Italie,plateforme_en_ligne,voiture,13,3,2,0,1,petit_dejeuner,oui,aucun,170.81,5,486.81,nouveau,0,0,0,1,0,0,0,0,AG041,1
R006266,2023-01-10,2023-01-28,Lazio,Roma,urbaine_culturelle,LAZ-4-1,4,loisirs_couple,Autres,agence,train,18,3,2,0,1,demi_pension,oui,partiel,210.97,0,632.91,fidele,8,1,0,0,0,1,0,1,AG038,0
R007543,2023-01-10,2023-01-20,Trentino-Alto_Adige,Bolzano,montagne,TRE-4-1,4,affaires,Italie,plateforme_en_ligne,avion_direct,10,3,2,0,1,petit_dejeuner,oui,partiel,226.05,1,671.37,fidele,10,1,0,0,0,0,1,1,AG044,0
R007837,2023-01-10,2023-02-16,Toscana,Firenze,culturelle_rurale,TOS-3-3,3,solo,Italie,agence,train,37,2,1,0,1,aucune,non,total,129.87,3,251.95,nouveau,0,0,1,0,0,0,0,0,AG034,0
R007974,2023-01-10,2023-04-02,Lombardia,Milano,affaires_lacs,LOM-5-3,5,famille,Europe_Ouest,plateforme_en_ligne,train,82,6,2,1,1,petit_dejeuner,oui,aucun,354.09,5,2018.31,nouveau,0,0,1,0,0,0,1,0,AG040,0
R008685,2023-01-10,2023-02-11,Veneto,Venezia,urbaine_littorale,VEN-5-3,5,solo,Ameriques,site_hotel,voiture,32,5,1,0,1,petit_dejeuner,oui,aucun,180.74,10,813.33,nouveau,0,0,2,0,0,0,0,1,,0
R000940,2023-01-11,2023-05-20,Lazio,Roma,urbaine_culturelle,LAZ-4-2,4,famille,Europe_Ouest,agence,avion_direct,129,4,2,2,1,demi_pension,oui,aucun,258.22,8,950.25,nouveau,0,0,0,0,0,0,1,1,AG013,0
R004332,2023-01-11,2023-03-05,Lazio,Roma,urbaine_culturelle,LAZ-5-1,5,loisirs_couple,Europe_Ouest,entreprise,avion_direct,53,5,2,0,1,petit_dejeuner,non,partiel,164.03,18,672.52,fidele,8,1,0,1,0,0,0,0,,0
R005249,2023-01-11,2023-02-21,Sicilia,Palermo,insulaire_mixte,SIC-3-1,3,loisirs_couple,Europe_Centrale,plateforme_en_ligne,avion_correspondance,41,5,2,0,1,demi_pension,oui,partiel,125.43,3,608.34,nouveau,0,0,0,0,0,0,0,0,AG005,0
R006154,2023-01-11,2023-01-31,Liguria,Genova,littorale,LIG-4-3,4,affaires,Europe_Centrale,site_hotel,avion_direct,20,1,2,0,1,petit_dejeuner,oui,aucun,140.05,4,134.45,entreprise,9,1,1,1,0,0,0,0,,0
R006344,2023-01-11,2023-02-19,Lombardia,Milano,affaires_lacs,LOM-4-3,4,famille,Autres,agence,avion_direct,39,4,2,3,2,aucune,non,total,181.33,7,1349.1,nouveau,0,0,1,0,0,0,0,0,AG023,1
R007639,2023-01-11,2023-01-24,Puglia,Bari,balneaire_rurale,PUG-4-3,4,solo,Asie_Pacifique,agence,avion_correspondance,13,4,1,0,1,petit_dejeuner,oui,aucun,161.6,0,646.4,fidele,1,0,1,0,0,0,0,0,AG040,0
R008199,2023-01-11,2023-03-23,Sardegna,Cagliari,insulaire_balneaire,SAR-3-1,3,famille,Italie,telephone,avion_correspondance,71,5,2,1,1,aucune,oui,aucun,130.86,0,654.3,fidele,6,1,1,0,0,0,0,0,,1
R008703,2023-01-11,2023-02-08,Veneto,Venezia,urbaine_littorale,VEN-4-2,4,solo,Ameriques,plateforme_en_ligne,avion_direct,28,5,1,,1,aucune,oui,aucun,214.58,7,997.8,nouveau,0,0,2,0,0,0,0,0,AG024,0
R009897,2023-01-11,2023-02-16,Lazio,Roma,urbaine_culturelle,LAZ-4-3,4,groupe,Europe_Centrale,agence,voiture,36,2,4,0,2,demi_pension,oui,partiel,154.49,5,587.06,nouveau,0,0,0,0,0,0,0,0,AG014,0
R000953,2023-01-12,2023-02-22,Lazio,Roma,urbaine_culturelle,LAZ-3-2,3,affaires,Europe_Ouest,entreprise,avion_direct,41,1,2,0,1,petit_dejeuner,oui,total,162.59,14,139.83,fidele,8,1,1,1,0,0,0,0,,0
R002742,2023-01-12,2023-02-05,Lombardia,Milano,affaires_lacs,LOM-5-2,5,affaires,Italie,entreprise,voiture,24,3,2,0,1,pension_complete,oui,aucun,306.7,16,772.88,entreprise,5,1,1,1,0,1,0,0,,0
R003054,2023-01-12,2023-02-04,Toscana,Firenze,culturelle_rurale,TOS-3-1,3,loisirs_couple,Italie,plateforme_en_ligne,train,23,2,2,0,1,aucune,oui,aucun,152.05,2,298.02,fidele,2,0,0,1,0,0,0,1,AG044,1
R003483,2023-01-12,2023-01-27,Sicilia,Palermo,insulaire_mixte,SIC-5-2,5,affaires,Ameriques,site_hotel,avion_direct,15,5,2,0,1,aucune,non,total,223.59,2,1095.59,fidele,11,2,0,0,0,0,0,1,,0
R003697,2023-01-12,2023-02-17,Trentino-Alto_Adige,Bolzano,montagne,TRE-5-3,5,groupe,Italie,plateforme_en_ligne,voiture,36,2,3,0,3,aucune,non,total,353.61,8,1951.93,nouveau,0,0,0,0,0,0,1,1,AG030,0
